phrase;pinyin;meaning;count;tokenization
哎！;āi！;Alas!;1;哎 ！
哎！;āi！;Oh dear!;1;哎 ！
乖。;guāi。;Behave.;1;乖 。
乖！;guāi！;Behave!;1;乖 ！
乖！;guāi！;Be good!;1;乖 ！
讲。;jiǎng。;Speak.;1;讲 。
家！;jiā！;Home!;1;家 ！
说！;shuō！;Talk!;1;说 ！
说。;shuō。;Talk.;1;说 。
蠢。;chǔn。;Stupid.;1;蠢 。
耶！;yé！;Yay!;1;耶 ！
谁！;shuí！;Who!;1;谁 ！
走。;zǒu。;Leave.;1;走 。
走！;zǒu！;Leave!;1;走 ！
请！;qǐng！;Please!;1;请 ！
喂！;wèi！;Hello!;1;喂 ！
嗯 。;ń 。;Yeah.;1;嗯   。
谁？;shuí？;Who?;1;谁 ？
看！;kàn！;Look!;1;看 ！
切！;qiè！;Tsk!;1;切 ！
哇！;wa！;Wow!;1;哇 ！
错！;cuò！;Wrong!;1;错 ！
有！;yǒu！;Here!;1;有 ！
恶！;è！;Ew!;1;恶 ！
恶。;è。;Ew.;1;恶 。
赞！;zàn！;Kudos!;1;赞 ！
赞！;zàn！;Like!;1;赞 ！
赶快!;gǎnkuài!;Hurry up.;2;赶快 !
我叫Jack。;wǒ jiào Jack。;My name is Jack.;2;我 叫 Jack 。
我叫Jack。;wǒ jiào Jack。;My name's Jack.;2;我 叫 Jack 。
Kate, 坐吧。;Kate,  zuò ba。;Sit down, Kate.;2;Kate ,   坐 吧 。
响了。;xiǎng le。;It rang.;2;响 了 。
走吧。;zǒu ba。;Let's go!;2;走 吧 。
走吧。;zǒu ba。;Let's leave.;2;走 吧 。
是我。;shì wǒ。;It's me.;2;是 我 。
是我。;shì wǒ。;It is I.;2;是 我 。
Nancy怕狗。;Nancy pà gǒu。;Nancy is afraid of dogs.;2;Nancy 怕 狗 。
Bill，开门。;Bill， kāimén。;Bill, open the door.;2;Bill ， 开门 。
再见！;zàijiàn！;See you again.;2;再见 ！
再见！;zàijiàn！;See you around.;2;再见 ！
再见！;zàijiàn！;Good-bye!;2;再见 ！
再见！;zàijiàn！;See you later!;2;再见 ！
再见！;zàijiàn！;Goodbye!;2;再见 ！
再见！;zàijiàn！;Bye!;2;再见 ！
再见！;zàijiàn！;See you.;2;再见 ！
什么？;shénme？;What?;2;什么 ？
什么？;shénme？;Excuse me?;2;什么 ？
什么？;shénme？;Say what?;2;什么 ？
买单。;mǎidān。;The check, please.;2;买单 。
买单。;mǎidān。;The bill, please.;2;买单 。
欢迎。;huānyíng。;Welcome.;2;欢迎 。
冷静！;lěngjìng！;Cool off!;2;冷静 ！
记账。;jìzhàng。;Keep accounts.;2;记账 。
死了?;sǐ le?;Are you dead?;2;死 了 ?
真好！;zhēn hǎo！;Great!;2;真 好 ！
请进！;qǐng jìn！;Come in.;2;请 进 ！
请进！;qǐng jìn！;Come in!;2;请 进 ！
请进！;qǐng jìn！;Please come in!;2;请 进 ！
进来！;jìnlái！;Come on in!;2;进来 ！
进来！;jìnlái！;Come right in.;2;进来 ！
进来！;jìnlái！;Come in.;2;进来 ！
进来！;jìnlái！;Come on in.;2;进来 ！
进来！;jìnlái！;Come in!;2;进来 ！
进来！;jìnlái！;Come inside.;2;进来 ！
进来！;jìnlái！;Come on in here.;2;进来 ！
50日元。;50 rìyuán。;It's 50 yen.;2;50 日元 。
干杯！;gānbēi！;Bottoms up!;2;干杯 ！
干杯！;gānbēi！;Cheers!;2;干杯 ！
欢迎!;huānyíng!;Welcome.;2;欢迎 !
欢迎!;huānyíng!;Welcome!;2;欢迎 !
这是DVD。;zhèshì DVD。;This is a DVD.;2;这是 DVD 。
终于！;zhōngyú！;Finally!;2;终于 ！
多谢！;duōxiè！;Thank you very much!;2;多谢 ！
算了。;suànle。;Forget it.;2;算了 。
哎呀......;āiyā......;Oh boy...;2;哎呀 ......
快点!;kuàidiǎn!;Hurry up.;2;快点 !
好嘞！;hǎo lei！;Fine!;2;好 嘞 ！
好嘞！;hǎo lei！;Roger!;2;好 嘞 ！
就是！;jiùshì！;Exactly!;2;就是 ！
住手！;zhùshǒu！;Stop!;2;住手 ！
救命！;jiùmìng！;Help!;2;救命 ！
蠢货！;chǔnhuò！;You idiot!;2;蠢货 ！
晚安！;wǎnān！;Good night!;2;晚安 ！
晚安！;wǎnān！;Goodnight!;2;晚安 ！
我冷。;wǒ lěng。;I am cold.;2;我 冷 。
我冷。;wǒ lěng。;I'm cold.;2;我 冷 。
请进。;qǐng jìn。;Do come in, please.;2;请 进 。
关门。;guānmén。;Shut the door.;2;关门 。
关门。;guānmén。;Close the door.;2;关门 。
关门。;guānmén。;Close the gate.;2;关门 。
我用Twitter。;wǒyòng Twitter。;I'm using Twitter.;2;我用 Twitter 。
我用Twitter。;wǒyòng Twitter。;I am using Twitter.;2;我用 Twitter 。
我用Twitter。;wǒyòng Twitter。;I use Twitter.;2;我用 Twitter 。
是的。;shì de。;Yes.;2;是 的 。
是的。;shì de。;Aye.;2;是 的 。
快点！;kuàidiǎn！;Hurry up.;2;快点 ！
没事。;méishì。;No prob.;2;没事 。
没事。;méishì。;No problem.;2;没事 。
没事。;méishì。;No worries.;2;没事 。
学吧！;xuéba！;Study!;2;学吧 ！
学吧！;xuéba！;Learn!;2;学吧 ！
请坐。;qǐng zuò。;Sit down, please.;2;请 坐 。
请坐。;qǐng zuò。;Please take a seat.;2;请 坐 。
你呢？;nǐ ne？;How about you?;2;你 呢 ？
你呢？;nǐ ne？;And you?;2;你 呢 ？
你呢？;nǐ ne？;What about you?;2;你 呢 ？
胡说。;húshuō。;Poppycock.;2;胡说 。
胡说。;húshuō。;Bullshit.;2;胡说 。
疯了！;fēng le！;Crazy!;2;疯 了 ！
我叫Andrea。;wǒ jiào Andrea。;My name is Andrea.;2;我 叫 Andrea 。
疯了!;fēng le!;Wild!;2;疯 了 !
干杯!;gānbēi!;Cheers!;2;干杯 !
她跑。;tā pǎo。;She runs.;2;她 跑 。
可怜!;kělián!;How unfortunate!;2;可怜 !
当然!;dāngrán!;Of course!;2;当然 !
起床!;qǐchuáng!;Get out of bed!;2;起床 !
关灯。;guāndēng。;Turn off the light.;2;关灯 。
胡扯!;húchě!;That's bullshit!;2;胡扯 !
胡扯!;húchě!;That's shit!;2;胡扯 !
我是Tom Hunter。;wǒ shì Tom  Hunter。;I'm Tom Hunter.;2;我 是 Tom   Hunter 。
我是Tom Hunter。;wǒ shì Tom  Hunter。;I am Tom Hunter.;2;我 是 Tom   Hunter 。
放屁！;fàngpì！;That's bullshit!;2;放屁 ！
瞎说！;xiāshuō！;Nonsense!;2;瞎说 ！
瞎说！;xiāshuō！;That's bullshit!;2;瞎说 ！
瞎说！;xiāshuō！;Nonsense.;2;瞎说 ！
胡说！;húshuō！;Nonsense!;2;胡说 ！
胡说！;húshuō！;That's bullshit!;2;胡说 ！
胡说！;húshuō！;Rubbish!;2;胡说 ！
走开！;zǒukāi！;Get away!;2;走开 ！
走开！;zǒukāi！;Go away.;2;走开 ！
走开！;zǒukāi！;Go away!;2;走开 ！
走开！;zǒukāi！;Amscray!;2;走开 ！
当然。;dāngrán。;Of course.;2;当然 。
躲雨。;duǒyǔ。;Stay out of the rain.;2;躲雨 。
实话？;shíhuà？;The truth?;2;实话 ？
加肉。;jiāròu。;Add meat.;2;加肉 。
开门！;kāimén！;Open up.;2;开门 ！
开啊！;kāi a！;Open up.;2;开 啊 ！
空号。;kōng hào。;Number unobtainable.;2;空 号 。
出售。;chūshòu。;For sale.;2;出售 。
切记！;qièjì！;Be sure to remember!;2;切记 ！
我跑。;wǒ pǎo。;I run.;2;我 跑 。
奇怪。;qíguài。;That's strange.;2;奇怪 。
奇怪。;qíguài。;That's weird.;2;奇怪 。
奇怪。;qíguài。;Strange.;2;奇怪 。
奇怪。;qíguài。;That's odd.;2;奇怪 。
奇怪。;qíguài。;This is weird.;2;奇怪 。
奇怪。;qíguài。;This is strange.;2;奇怪 。
奇怪。;qíguài。;That's peculiar.;2;奇怪 。
奇怪。;qíguài。;That is weird.;2;奇怪 。
奇怪。;qíguài。;That is odd.;2;奇怪 。
奇怪。;qíguài。;That is strange.;2;奇怪 。
奇怪。;qíguài。;Weird.;2;奇怪 。
别碰。;biépèng。;Don't touch.;2;别碰 。
好哇！;hǎowa！;Hooray!;2;好哇 ！
不错。;bùcuò。;Not bad.;2;不错 。
是吗？;shì ma？;Is that so?;2;是 吗 ？
她是Betty。;tā shì Betty。;She is Betty.;2;她 是 Betty 。
好暗。;hǎoàn。;It was so dark.;2;好暗 。
安静！;ānjìng！;Be quiet!;2;安静 ！
安静！;ānjìng！;Be still.;2;安静 ！
安静！;ānjìng！;Silence!;2;安静 ！
请坐！;qǐng zuò！;Please sit down!;2;请 坐 ！
放下。;fàngxià。;Put it down.;2;放下 。
走开。;zǒukāi。;Go away.;2;走开 。
走开。;zǒukāi。;Jog on.;2;走开 。
穿上。;chuān shàng。;Put it on.;2;穿 上 。
拿走。;názǒu。;Take it away.;2;拿走 。
等等。;děngděng。;Wait, wait just a little while.;2;等等 。
阿嚏!;ātì!;Achoo!;2;阿嚏 !
真的？;zhēnde？;You don't say.;2;真的 ？
真的？;zhēnde？;Is that true?;2;真的 ？
真的？;zhēnde？;Really?;2;真的 ？
真的？;zhēnde？;Seriously?;2;真的 ？
真的？;zhēnde？;No kidding?;2;真的 ？
够了。;gòu le。;That's enough.;2;够 了 。
行了。;xíng le。;That's enough.;2;行 了 。
报警！;bàojǐng！;Call the police!;2;报警 ！
报警！;bàojǐng！;Call the police.;2;报警 ！
上马。;shàngmǎ。;Get on the horse.;2;上马 。
熄灯。;xīdēng。;Put out the light.;2;熄灯 。
够了！;gòu le！;Enough!;2;够 了 ！
加油！;jiāyóu！;Go!;2;加油 ！
加油！;jiāyóu！;Keep at it!;2;加油 ！
我叫Ludwig。;wǒ jiào Ludwig。;My name is Ludwig.;2;我 叫 Ludwig 。
我叫Luis。;wǒ jiào Luis。;My name is Luis.;2;我 叫 Luis 。
您呢？;nín ne？;How about you?;2;您 呢 ？
您呢？;nín ne？;And you?;2;您 呢 ？
您呢？;nín ne？;What about you?;2;您 呢 ？
站住！;zhànzhù！;Stop!;2;站住 ！
来了。;lái le。;I'm coming.;2;来 了 。
来了。;lái le。;I'm here.;2;来 了 。
给你。;gěi nǐ。;Here you are.;2;给 你 。
给你。;gěi nǐ。;Here you go.;2;给 你 。
闭嘴。;bìzuǐ。;Shut up.;2;闭嘴 。
没有。;méiyǒu。;Not in there.;2;没有 。
没有。;méiyǒu。;Not here.;2;没有 。
没有。;méiyǒu。;I don't have it.;2;没有 。
没有。;méiyǒu。;I didn't.;2;没有 。
没有。;méiyǒu。;I don't have any.;2;没有 。
起立。;qǐlì。;Stand up.;2;起立 。
拜拜！;bàibài！;Bye!;2;拜拜 ！
拜拜！;bàibài！;Bye-bye!;2;拜拜 ！
再见！;zàijiàn！;See you later!;2;再见 ！
再见！;zàijiàn！;Bye!;2;再见 ！
别哭。;biékū。;Don't cry.;2;别哭 。
保重。;bǎozhòng。;Take care.;2;保重 。
无解。;wú jiě。;There isn't any solution.;2;无 解 。
我叫Tom。;wǒ jiào Tom。;I'm called Tom.;2;我 叫 Tom 。
笨蛋！;bèndàn！;Idiot!;2;笨蛋 ！
笨蛋！;bèndàn！;Dumbass!;2;笨蛋 ！
给我！;gěi wǒ！;Give it to me.;2;给 我 ！
上楼。;shànglóu。;Go up the stairs.;2;上楼 。
再见。;zàijiàn。;See you.;2;再见 。
再见。;zàijiàn。;See you later.;2;再见 。
再见。;zàijiàn。;Goodbye.;2;再见 。
再见。;zàijiàn。;Good-bye.;2;再见 。
再见。;zàijiàn。;Farewell.;2;再见 。
没门！;méimén！;No way!;2;没门 ！
谁是 Emily?;shuí shì  Emily?;Who is Emily?;2;谁 是   Emily ?
左转!;zuǒzhuǎn!;Turn left!;2;左转 !
不懂。;bù dǒng。;Don't understand.;2;不 懂 。
提问！;tíwèn！;Ask!;2;提问 ！
提问！;tíwèn！;Ask.;2;提问 ！
可以。;kěyǐ。;That's okay.;2;可以 。
滚开！;gǔnkāi！;Get lost!;2;滚开 ！
你敢！;nǐ gǎn！;How dare you!;2;你 敢 ！
人呢？;rén ne？;Where did he go?;2;人 呢 ？
人呢？;rén ne？;Where did they go?;2;人 呢 ？
人呢？;rén ne？;Where is the person?;2;人 呢 ？
懂么？;dǒng me？;Do you get it?;2;懂 么 ？
别动！;biédòng！;Don't move!;2;别动 ！
不急。;bù jí。;There's no rush.;2;不 急 。
哇塞!;wāsāi!;Wow!;2;哇塞 !
我在。;wǒ zài。;I'm here.;2;我 在 。
我在。;wǒ zài。;I am here.;2;我 在 。
我在。;wǒ zài。;I was here.;2;我 在 。
你赢！;nǐ yíng！;You've won!;2;你 赢 ！
您赢！;nín yíng！;You've won!;2;您 赢 ！
拍照。;pāizhào。;Let's take a picture.;2;拍照 。
停止！;tíngzhǐ！;Stop!;2;停止 ！
痛吗？;tòng ma？;Does that hurt?;2;痛 吗 ？
不是。;búshì。;No.;2;不是 。
不是。;búshì。;It's not.;2;不是 。
回家。;huíjiā。;Go home.;2;回家 。
别怕！;biépà！;Don't be afraid.;2;别怕 ！
别怕！;biépà！;Don't be afraid!;2;别怕 ！
谢谢！;xièxiè！;Thanks!;2;谢谢 ！
谢谢！;xièxiè！;'Ppreciate it!;2;谢谢 ！
说呀！;shuō ya！;Speak!;2;说 呀 ！
很好！;hěn hǎo！;That's good.;2;很 好 ！
永别。;yǒngbié。;Gone forever.;2;永别 。
闭嘴！;bìzuǐ！;Shut up!;2;闭嘴 ！
闭嘴！;bìzuǐ！;Keep your mouth shut!;2;闭嘴 ！
闭嘴！;bìzuǐ！;Zip up!;2;闭嘴 ！
闭嘴！;bìzuǐ！;Shut your gob!;2;闭嘴 ！
闭嘴！;bìzuǐ！;Shut your mouth!;2;闭嘴 ！
活该。;huógāi。;You reap what you sow.;2;活该 。
活该。;huógāi。;Serves you right.;2;活该 。
当然。;dāngrán。;Of course.;2;当然 。
同意。;tóngyì。;I agree.;2;同意 。
别哭。;biékū。;Don't cry.;2;别哭 。
大约。;dàyuē。;Probably.;2;大约 。
晚安。;wǎnān。;Good night.;2;晚安 。
晚安。;wǎnān。;Goodnight.;2;晚安 。
屁话！;pìhuà！;Nonsense!;2;屁话 ！
屁话！;pìhuà！;Rubbish!;2;屁话 ！
悲伤！;bēishāng！;Sad!;2;悲伤 ！
傻瓜。;shǎguā。;Dickhead.;2;傻瓜 。
再见，Ian。;zàijiàn， Ian。;Goodbye, Ian.;2;再见 ， Ian 。
你好。;nǐhǎo。;Hello!;2;你好 。
你好。;nǐhǎo。;Hi.;2;你好 。
你好！;nǐhǎo！;Hello!;2;你好 ！
谢谢！;xièxiè！;Thank you!;2;谢谢 ！
谢谢！;xièxiè！;Thanks!;2;谢谢 ！
谢谢！;xièxiè！;Ta!;2;谢谢 ！
它吃。;tā chī。;It is eating.;2;它 吃 。
它吃。;tā chī。;He ate.;2;它 吃 。
他吃。;tā chī。;He eats.;2;他 吃 。
他吃。;tā chī。;He ate.;2;他 吃 。
她吃。;tā chī。;She is eating.;2;她 吃 。
她吃。;tā chī。;She eats.;2;她 吃 。
她吃。;tā chī。;He ate.;2;她 吃 。
他高。;tā gāo。;He is tall.;2;他 高 。
她高。;tā gāo。;She is tall.;2;她 高 。
告辞！;gàocí！;Goodbye!;2;告辞 ！
嗯哪。;ń nǎ。;Yep.;2;嗯 哪 。
好棒！;hǎobàng！;Fantastic!;2;好棒 ！
好棒！;hǎobàng！;Awesome!;2;好棒 ！
可笑!;kěxiào!;Funny!;2;可笑 !
等等！;děngděng！;Wait!;2;等等 ！
恭喜！;gōngxǐ！;Congratulations!;2;恭喜 ！
很多!;hěnduō!;That's a lot!;2;很多 !
完美！;wánměi！;Perfect!;2;完美 ！
很棒！;hěnbàng！;Terrific!;2;很棒 ！
很棒！;hěnbàng！;Great!;2;很棒 ！
很棒！;hěnbàng！;Wonderful!;2;很棒 ！
很棒！;hěnbàng！;Fantastic!;2;很棒 ！
听着。;tīng zhe。;Listen.;2;听 着 。
当心！;dāngxīn！;Look out!;2;当心 ！
当心！;dāngxīn！;Watch out!;2;当心 ！
让开。;ràngkāi。;Step aside.;2;让开 。
快点。;kuàidiǎn。;Hurry up.;2;快点 。
快点。;kuàidiǎn。;Make it quick.;2;快点 。
真疼。;zhēnténg。;That hurts.;2;真疼 。
吻我。;wěn wǒ。;Kiss me.;2;吻 我 。
吻我。;wěn wǒ。;Give me a kiss.;2;吻 我 。
住手。;zhùshǒu。;Stop that!;2;住手 。
你跑。;nǐ pǎo。;You run.;2;你 跑 。
他跑。;tā pǎo。;He runs.;2;他 跑 。
开火！;kāihuǒ！;Open fire!;2;开火 ！
坚持。;jiānchí。;Keep it up!;2;坚持 。
坚持。;jiānchí。;Keep it up.;2;坚持 。
坚持。;jiānchí。;Hold on.;2;坚持 。
坚持。;jiānchí。;Hang on!;2;坚持 。
坚持。;jiānchí。;Hang on.;2;坚持 。
坚持。;jiānchí。;Hang in there.;2;坚持 。
趴着！;pāzhe！;Stay down!;2;趴着 ！
停火。;tínghuǒ。;Hold fire.;2;停火 。
停火。;tínghuǒ。;Don't shoot.;2;停火 。
停手！;tíngshǒu！;Break it up!;2;停手 ！
开始！;kāishǐ！;Action!;2;开始 ！
开始！;kāishǐ！;Start!;2;开始 ！
开始！;kāishǐ！;Begin.;2;开始 ！
谢谢。;xièxiè。;Thank you.;2;谢谢 。
趴下！;pāxià！;Get down!;2;趴下 ！
努力。;nǔlì。;Try hard.;2;努力 。
醒醒！;xǐngxǐng！;Wake up!;2;醒醒 ！
进来。;jìnlái。;Come in.;2;进来 。
进来。;jìnlái。;Come on in.;2;进来 。
进来。;jìnlái。;Step inside.;2;进来 。
进来。;jìnlái。;Come inside.;2;进来 。
哪个？;nǎge？;Which one?;2;哪个 ？
快写！;kuài xiě！;Write it quickly!;2;快 写 ！
扔掉;rēngdiào;Throw it away.;2;扔掉
扔掉;rēngdiào;Throw it out.;2;扔掉
回家！;huíjiā！;Go home!;2;回家 ！
回家！;huíjiā！;Come home!;2;回家 ！
哪里？;nǎlǐ？;Where?;2;哪里 ？
Tom游泳。;Tom yóuyǒng。;Tom swam.;2;Tom 游泳 。
Tom游泳。;Tom yóuyǒng。;Tom swims.;2;Tom 游泳 。
注意。;zhùyì。;Caution.;2;注意 。
真好。;zhēn hǎo。;That's really nice.;2;真 好 。
有吗？;yǒu ma？;Is that so?;2;有 吗 ？
请坐。;qǐng zuò。;Please take your seat.;2;请 坐 。
请坐。;qǐng zuò。;Sit down.;2;请 坐 。
好吧。;hǎo ba。;Okay.;2;好 吧 。
好的。;hǎo de。;Okay.;2;好 的 。
喝水。;hēshuǐ。;Drink water.;2;喝水 。
喝茶。;hēchá。;Drink tea.;2;喝茶 。
喝汤。;hētāng。;Eat soup.;2;喝汤 。
吃饭。;chīfàn。;Eat.;2;吃饭 。
吃菜。;chī cài。;Eat vegetables.;2;吃 菜 。
吃肉。;chī ròu。;Eat meat.;2;吃 肉 。
别走！;bié zǒu！;Don't leave!;2;别 走 ！
别走！;bié zǒu！;Please don't go!;2;别 走 ！
很远。;hěn yuǎn。;It was very far.;2;很 远 。
吸我𣬠𣬶。;xī wǒjība。;Suck my dick.;2;吸 我 𣬠 𣬶 。
别死！;biésǐ！;Don't die!;2;别死 ！
真晚！;zhēnwǎn！;So late!;2;真晚 ！
真晚！;zhēnwǎn！;How late!;2;真晚 ！
远吗？;yuǎn ma？;Is it far?;2;远 吗 ？
别急！;biéjí！;Don't worry!;2;别急 ！
永远！;yǒngyuǎn！;Forever!;2;永远 ！
请听！;qǐng tīng！;Please listen!;2;请 听 ！
救我！;jiù wǒ！;Save me!;2;救 我 ！
抱歉？;bàoqiàn？;Excuse me?!;2;抱歉 ？
鞠躬！;jūgōng！;Bow down!;2;鞠躬 ！
说啊！;shuō a！;Speak!;2;说 啊 ！
抱歉！;bàoqiàn！;I'm sorry!;2;抱歉 ！
正确！;zhèngquè！;Correct!;2;正确 ！
出去！;chūqù！;Get out!;2;出去 ！
要得。;yào dé。;It is feasible.;2;要 得 。
对了！;duì le！;That's right!;2;对 了 ！
对了！;duì le！;Correct!;2;对 了 ！
好车！;hǎochē！;Nice car!;2;好车 ！
收到。;shōudào。;Roger that.;2;收到 。
来吧！;lái ba！;Come!;2;来 吧 ！
喝吧。;hē ba。;Drink.;2;喝 吧 。
别碰！;biépèng！;Hands off.;2;别碰 ！
别碰！;biépèng！;Hands off!;2;别碰 ！
警察！;jǐngchá！;Police!;2;警察 ！
抱我。;bào wǒ。;Give me a hug.;2;抱 我 。
抱我。;bào wǒ。;Hug me.;2;抱 我 。
跑啊！;pǎo a！;Run!;2;跑 啊 ！
攻击！;gōngjī！;Attack!;2;攻击 ！
进攻！;jìngōng！;Attack!;2;进攻 ！
来吧。;lái ba。;Come along.;2;来 吧 。
专心！;zhuānxīn！;Attention please!;2;专心 ！
退后。;tuìhòu。;Step back.;2;退后 。
小心！;xiǎoxīn！;Be careful!;2;小心 ！
小心！;xiǎoxīn！;Use caution.;2;小心 ！
直走。;zhízǒu。;Go straight ahead.;2;直走 。
别跳！;bié tiào！;Don't jump!;2;别 跳 ！
幸会。;xìnghuì。;It is a privilege to meet you.;2;幸会 。
幸会。;xìnghuì。;It's a privilege to meet you.;2;幸会 。
别笑！;biéxiào！;Don't laugh.;2;别笑 ！
别笑！;biéxiào！;Don't laugh!;2;别笑 ！
亲吧。;qīn ba。;Kiss it.;2;亲 吧 。
出来。;chūlái。;Come out.;2;出来 。
别动。;biédòng。;Stay still.;2;别动 。
你唱。;nǐ chàng。;Sing!;2;你 唱 。
我懂。;wǒ dǒng。;I understand.;2;我 懂 。
随便！;suíbiàn！;Whatever!;2;随便 ！
祝贺！;zhùhè！;Congratulations!;2;祝贺 ！
谁，我？;shuí， wǒ？;Who? Me?;2;谁 ， 我 ？
我爱Tatoeba。;wǒ ài Tatoeba。;I love Tatoeba.;2;我 爱 Tatoeba 。
几位？;jǐwèi？;How many people?;2;几位 ？
别推！;bié tuī！;Don't push.;2;别 推 ！
别看。;biékàn。;Don't look.;2;别看 。
帮她！;bāng tā！;Help her!;2;帮 她 ！
将军。;jiāngjūn。;Check.;2;将军 。
看他。;kàn tā。;Look at him.;2;看 他 。
吻她。;wěn tā。;Kiss her.;2;吻 她 。
回来。;huílái。;Back in.;2;回来 。
没坏。;méihuài。;It's not broken.;2;没坏 。
没坏。;méihuài。;It isn't broken.;2;没坏 。
不对。;bù duì。;It's wrong.;2;不 对 。
不对。;bù duì。;It's not right.;2;不 对 。
不对。;bù duì。;That's wrong.;2;不 对 。
不对。;bù duì。;It isn't right.;2;不 对 。
不对。;bù duì。;That's not right.;2;不 对 。
哈哈;hāhā;Haha.;2;哈哈
专心。;zhuānxīn。;Focus.;2;专心 。
专心。;zhuānxīn。;Concentrate.;2;专心 。
够了。;gòu le。;That does it.;2;够 了 。
你敢。;nǐ gǎn。;Don't you dare.;2;你 敢 。
爱听？;ài tīng？;Love listening?;2;爱 听 ？
不对。;bù duì。;It's wrong.;2;不 对 。
不对。;bù duì。;It's not right.;2;不 对 。
不对。;bù duì。;That's wrong.;2;不 对 。
不对。;bù duì。;That isn't right.;2;不 对 。
不对。;bù duì。;That's not right.;2;不 对 。
读书。;dúshū。;Read.;2;读书 。
参与！;cānyù！;Participate!;2;参与 ！
恶心！;ěxīn！;Disgusting!;2;恶心 ！
重复！;chóngfù！;Repeat!;2;重复 ！
天哪！;tiān nǎ！;Gosh!;2;天 哪 ！
错误！;cuòwù！;Wrong!;2;错误 ！
对吗？;duì ma？;Right?;2;对 吗 ？
选择。;xuǎnzé。;Choose.;2;选择 。
倾听...;qīngtīng...;Listen...;2;倾听 ...
再来！;zài lái！;Again!;2;再 来 ！
美味！;měiwèi！;Yummy!;2;美味 ！
永远。;yǒngyuǎn。;Always.;2;永远 。
后退！;hòutuì！;Back off!;2;后退 ！
抱歉...;bàoqiàn...;Sorry...;2;抱歉 ...
回答。;huídá。;Respond.;2;回答 。
抓住。;zhuāzhù。;Grab it.;2;抓住 。
小心!;xiǎoxīn!;Be careful!;2;小心 !
欢迎！;huānyíng！;Welcome!;2;欢迎 ！
来了!;lái le!;I'm coming!;2;来 了 !
来了!;lái le!;Coming!;2;来 了 !
肏！停！;cào！ tíng！;Shit! Stop!;2;肏 ！ 停 ！
